provider,code,game name
evo,evo-RNGBj-1000001,RNG Blackjack
evo,evo-RNGRoulette-1000003,RNG Roulette
evo,evo-Roulette-1000003,Roulette
evo,evo-Baccarat-1000002,Baccarat
evo,evo-Blackjack-1000001,Blackjack
png,sparkyandshortz,Sparky&Shortz
png,nsyncpop,*NSYNC POP
png,alicecooper,Alice Cooper and the Tome of Madness
png,beastsoffire,Beasts of Fire
png,bullinarodeo,Bull in a Rodeo
png,cashofcommand,Cash of Command
png,pyramidsofdead,Cat Wilde and the Pyramids of Dead
png,championsofmithrune,Champions of Mithrune
png,curseofcleopatra,Charlie Chance and the Curse of Cleopatra
png,defleppard,Def Leppard: Hysteria
png,derbywheel,Derby Wheel
png,forgeoffortunes,Forge of Fortunes
png,fortunerewind,Fortune Rewind
png,gatesoftroy,Gates of Troy
png,immortails,Immortails of Egypt
png,kingsmask,King's Mask
png,leprechaunsvault,Leprechaun's Vault
png,lordi,Lordi Reel Monsters
png,megadon,Mega Don
png,merlinsgrimoire,Merlin's Grimoire
png,mountm,Mount M
png,riseofgodsreckoning,Rise of Gods: Reckoning
png,roccogallo,Rocco Gallo
png,rotiki,Rotiki
png,snakebite,Snakebite
png,wildtrigger,Wild Trigger
pp,439,No Comm Speed Baccarat 2
pp,vs100sh,Shining Hot 100
pp,vs40sh,Shining Hot 40
pp,vs20sh,Shining Hot 20
pp,vs5sh,Shining Hot 5
pp,scdiamond,"Diamond Strike 100,000"
bng,bng_276,Green Chilli
ezg,category-lottery,Lottery category
ezg,EzugiLobby,lobby
ezg,ezg-NBaccarat-25,No Commission Baccarat
ezg,ezg-BaccaratQueenco-27,BaccaratQueenco
ezg,ezg-UBlackjack-12,Unlimited Blackjack
ezg,category-baccarat_dragon_tiger,Baccarat_dragon_tiger category
ezg,ezg-ThreeCardPoker-17,Three Card Poker(NJ)/ Teen Patti
ezg,ezg-Blackjack-1,Blackjack
ezg,ezg-Roulette-3,Roulette
ezg,ezg-DragonTiger-24,Dragon Tiger
ezg,ezg-RoulettePortomaso-29,RoulettePortomaso
ezg,ezg-Cricketwar-45,Cricket war
ezg,ezg-BJSalonPrive-46,BJ Salon Prive
ezg,ezg-ODTPBackLay-50,One Day Teen Patti Back & Lay
ezg,ezg-OTTAndarBahar-39,OTT Andar Bahar
pp,1101,Sweet Bonanza Candyland
pp,108,Dragon Tiger Lobby
pp,902,ONE Blackjack 2 - Ruby
pp,901,One Blackjack
pp,103,Blackjack Lobby
pp,204,Mega Roulette
pp,105,Game Shows
pp,801,Mega Wheel
pp,234,Roulette 14 - Spanish
pp,230,Roulette 10 - Ruby
pp,545,Roulette 9 - Indigo
pp,229,Roulette 8 - Indian
pp,201,Roulette 2
pp,102,Roulette Lobby
pp,203,Speed Roulette 1
pp,701,Mega Sic Bo
pp,107,Mega Sic Bo Lobby
pp,435,No Comm Speed Baccarat 1
pp,402,Speed Baccarat 1
pp,436,No Comm Baccarat 1
pp,vs5firehot,Fire Hot 5
pp,vs20fh,Fire Hot 20
pp,vs40firehot,Fire Hot 40
pp,vs100firehot,Fire Hot 100
pp,vs20octobeer,Octobeer Fortunes
pp,vs40mstrwild,Happy Hooves
pp,vs5strh,Striking Hot 5
pp,vswaysbook,Book of Golden Sands
pp,vs20underground,Down The Rails
pp,vs25dwarves,Dwarven Gold
pp,vs20rome,Glorious Rome
pp,vs20egypt,Tales of Egypt
pp,vs13ladyofmoon,Lady of the Moon
pp,vs50amt,Aladdin's Treasure
pp,vs243crystalcave,Magic Crystals
pp,vs1024atlantis,Queen of Atlantis
pp,vs25pantherqueen,Panther Queen
pp,vs4096jurassic,Jurassic Giants
pp,vs25champ,The Champions
pp,vs5trjokers,Triple Jokers
pp,vs40hotburnx,Hot to Burn Extreme
pp,vs25romeoandjuliet,Romeo and Juliet
pp,vs20hockey,Hockey League
pp,vs9catz,The Catfather
pp,vs30catz,The Catfather Part II
pp,vs9hockey,Hockey League Wild Match
pp,vs10bookviking,Book of Vikings
pp,vs50northgard,North Guardians
pp,vs20gobnudge,Goblin Heist Powernudge
pp,vs5littlegem,Little Gem
pp,vs20cleocatra,Cleocatra
pp,vs10egrich,Queen of Gods
pp,vs25bomb,Bomb Bonanza
pp,vs40cosmiccash,Cosmic Cash
pp,vswaysjkrdrop,Tropical Tiki
pp,vs10mmm,Magic Money Maze
pp,vs20wolfie,Greedy Wolf
pp,vs20trswild2,Black Bull
pp,sc7piggies,"7 Piggies 5,000"
pp,scgoldrush,"Gold Rush 250,000"
pp,scsafari,"Hot Safari 50,000"
pp,scpanda,"Panda Gold 10,000"
pp,1401,Boom City
pp,1301,Spaceman
pp,570,Speed Blackjack 5 - Ruby
pp,569,Speed Blackjack 4 - Ruby
pp,550,VIP Blackjack 5 - Ruby
pp,549,VIP Blackjack 4 - Ruby
pp,548,VIP Blackjack 3 - Ruby
pp,547,VIP Blackjack 2 - Ruby
pp,546,VIP Blackjack 1 - Ruby
pp,544,Blackjack 36 - The Club
pp,543,Blackjack 35 - The Club
pp,542,Blackjack 34 - The Club
pp,541,Blackjack 33 - The Club
pp,540,Blackjack 32 - Azure
pp,536,Blackjack 30 - Azure
pp,530,Blackjack 26 - Azure
pp,529,Blackjack 25 - Azure
pp,305,Blackjack 16
pp,304,Blackjack 15
pp,302,Blackjack 12
pp,301,Blackjack 11
pp,520,Blackjack 8 - Azure
pp,512,Blackjack 6 - Azure
pp,511,Blackjack 3 - Azure
pp,519,Blackjack 2 - Azure
pp,233,Roulette 12 - Romanian
pp,235,Roulette 11 - Dutch
pp,223,Roulette 7 - Italian
pp,224,Roulette 6 - Turkish
pp,222,Roulette 5 - German
pp,221,Roulette 4 - Russian
pp,206,Roulette 3 - Macao
pp,227,Roulette 1 - Azure
pp,434,Fortune 6 Baccarat
pp,433,Super 8 Baccarat
pp,427,Speed Baccarat 15
pp,405,Speed Baccarat 14
pp,438,Speed Baccarat 13
pp,421,Speed Baccarat 12
pp,424,Speed Baccarat 11
pp,428,Speed Baccarat 10
pp,430,Speed Baccarat 9
pp,432,Speed Baccarat 8
pp,431,Speed Baccarat 7
pp,415,Speed Baccarat 6
pp,414,Speed Baccarat 5
pp,412,Speed Baccarat 3
pp,403,Speed Baccarat 2
pp,426,Baccarat 8
pp,425,Baccarat 7
pp,413,Baccarat 6
pp,411,Baccarat 5
pp,422,Baccarat 3
pp,404,Baccarat 2
pp,104,Baccarat Lobby
pp,scqog,"Queen of Gold 100,000"
pgsoft,pgsoft_60,Leprechaun Riches
ezg,ezg-CasinoHold’em-15,Casino Hold’em
ezg,ezg-AndarBahar-38,Andar Bahar
ezg,ezg-Baccarat-2,Baccarat
ezg,ezg-32Cards-19,32 Cards
ezg,ezg-BetonTeenPatti-16,Bet on Teen Patti
ezg,ezg-AutomaticRoulette-7,Automatic Roulette
sw,sw_ro_a01bac_nc,Baccarat A01 No Commission
pgsoft,pgsoft_31,Baccarat Deluxe
pgsoft,pgsoft_107,Legendary Monkey King
pgsoft,pgsoft_0,Game Lobby
sw,sw_jolu,Joker's Luck
png,vikingrunecraftbingo,Viking Runecraft Bingo
